Betriebsmittelkennzeichen (BMK);Funktion;Artikelbeschreibung;Hersteller;Artikelnummer;Bestellnummer;Lieferant;Menge;Einheit
-F20.15;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F21.5;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F21.6;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.10;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.11;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.12;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.13;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.14;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F32.15;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F4.11;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F4.12;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F7.12;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F7.13;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.10;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.11;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.12;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.13;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.14;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.16;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F8.17;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F4.10;(A) 25 A 30 mA;FI-Schutzschalter A 4polig 25 A 0.03 A 230 V/AC, 400 V/AC;ABB;8012542783404;621748 - 62;Conrad;1;Stk
-F7.10;(A) 25 A 30 mA;FI-Schutzschalter A 4polig 25 A 0.03 A 230 V/AC, 400 V/AC;ABB;8012542783404;621748 - 62;Conrad;1;Stk
-F7.11;(A) 25 A 30 mA;FI-Schutzschalter A 4polig 25 A 0.03 A 230 V/AC, 400 V/AC;ABB;8012542783404;621748 - 62;Conrad;1;Stk
-F19.11;(A) 25 A 30 mA;FI-Schutzschalter A 4polig 25 A 0.03 A 230 V/AC, 400 V/AC;ABB;8012542783404;621748 - 62;Conrad;1;Stk
-F19.10;(A) 25 A 30 mA;FI-Schutzschalter A 4polig 25 A 0.03 A 230 V/AC, 400 V/AC;ABB;8012542783404;621748 - 62;Conrad;1;Stk
-F7.2;Leitungsschutzschalter;ABB 2CDS253001R0205 S203-B20 Leitungsschutzschalter 3polig 20 A Schaltleistung 6000 A;ABB;4016779609234;621930 - 62;Conrad;1;Stk
-F7.3;Leitungsschutzschalter;ABB 2CDS253001R0205 S203-B20 Leitungsschutzschalter 3polig 20 A Schaltleistung 6000 A;ABB;4016779609234;621930 - 62;Conrad;1;Stk
-F19.2;Leitungsschutzschalter;ABB 2CDS253001R0205 S203-B20 Leitungsschutzschalter 3polig 20 A Schaltleistung 6000 A;ABB;4016779609234;621930 - 62;Conrad;1;Stk
-F19.3;Leitungsschutzschalter;ABB 2CDS253001R0205 S203-B20 Leitungsschutzschalter 3polig 20 A Schaltleistung 6000 A;ABB;4016779609234;621930 - 62;Conrad;1;Stk

0x7fffc7399800
