Betriebsmittelkennzeichen (BMK);Artikelnummer;Bestellnummer;Menge;Einheit;Artikelbeschreibung
-W27.3;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.4;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.5;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.6;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.7;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.8;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.9;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.10;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.11;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.12;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.13;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.14;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.15;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.16;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W27.17;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W27.18;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.19;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.20;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.21;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.22;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.23;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.24;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.25;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²

-W28.1;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.2;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.3;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.4;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.5;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W28.6;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W28.7;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W28.8;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W28.9;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.10;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.11;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.12;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.13;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.14;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.15;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.16;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.17;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.18;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.19;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.20;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.21;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.22;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.23;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.24;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.25;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.26;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.27;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.28;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.29;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.30;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.31;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.32;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W28.33;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²

-W32.1;4044776488064;1025834 - 62;;m;LAPP 16000063/50 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W32.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W32.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W32.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W32.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W32.6;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W32.7;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W36.1;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.2;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.3;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.4;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W36.5;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.6;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.7;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.8;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.9;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.10;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.11;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W36.12;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.13;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.14;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.15;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.18;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W36.19;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W36.20;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
